uid_src,uid_dst,lng_src,lat_src,lng_dst,lat_dst,distance_in_meter
637312124014905680,637312124013038879,104.269493,30.547171,104.266069,30.545579,500
637312124013038879,637312124014905680,104.266069,30.545579,104.269493,30.547171,500
637312124012113514,637276942188411153,104.259842,30.549018,104.262245,30.546041,520
637276942188411153,637312124012113514,104.262245,30.546041,104.259842,30.549018,520
637276942195779033,637276942188411153,104.25788,30.546867,104.262245,30.546041,522
637276942188411153,637276942195779033,104.262245,30.546041,104.25788,30.546867,522
637312124016642332,637312124012129393,104.168809,30.562433,104.166827,30.56312,524
637312124012129393,637312124016642332,104.166827,30.56312,104.168809,30.562433,524
637312124013848803,637312124012129393,104.168501,30.562372,104.166827,30.56312,576
637312124012129393,637312124013848803,104.166827,30.56312,104.168501,30.562372,576
637312124015678607,637312124014699108,104.17856,30.56646,104.184392,30.566619,609
637312124014699108,637312124015678607,104.184392,30.566619,104.17856,30.56646,609
637312124012113514,637276942196029778,104.259842,30.549018,104.25614,30.548338,621
637276942196029778,637312124012113514,104.25614,30.548338,104.259842,30.549018,621
637312124012113514,637276942218675648,104.259842,30.549018,104.25715,30.545443,621
637276942218675648,637312124012113514,104.25715,30.545443,104.259842,30.549018,621
637312124016107664,637312124015171684,104.19971,30.573965,104.200638,30.572446,621
637312124015171684,637312124016107664,104.200638,30.572446,104.19971,30.573965,621
637312124016754143,637312124014699108,104.1784,30.56639,104.184392,30.566619,631
637312124014699108,637312124016754143,104.184392,30.566619,104.1784,30.56639,631
637312124016107664,637312124012144235,104.19971,30.573965,104.200387,30.572607,643
637312124012144235,637312124016107664,104.200387,30.572607,104.19971,30.573965,643
637312124015650761,637312124012159576,104.19426,30.573801,104.195409,30.573383,643
637312124012159576,637312124015650761,104.195409,30.573383,104.19426,30.573801,643
637276942218675648,637276942188411153,104.25715,30.545443,104.262245,30.546041,676
637276942196029778,637276942188411153,104.25614,30.548338,104.262245,30.546041,676
637276942188411153,637276942196029778,104.262245,30.546041,104.25614,30.548338,676
637276942188411153,637276942218675648,104.262245,30.546041,104.25715,30.545443,676
637312124013045001,637312124012071547,104.269845,30.548347,104.266069,30.545579,704
637312124012071547,637312124013045001,104.266069,30.545579,104.269845,30.548347,704
637312124013038879,637312124013045001,104.266069,30.545579,104.269845,30.548347,704
637312124013045001,637312124013038879,104.269845,30.548347,104.266069,30.545579,704
637312124015917280,637276942189070334,104.28359,30.564098,104.28005,30.56667,714
637276942189070334,637312124015917280,104.28005,30.56667,104.28359,30.564098,714
637312124017111976,637312124016862518,104.29395,30.581919,104.297386,30.579788,718
637312124016862518,637312124017111976,104.297386,30.579788,104.29395,30.581919,718
637312124015707014,637312124015648969,104.26627,30.556612,104.26922,30.553812,739
637312124015648969,637312124015707014,104.26922,30.553812,104.26627,30.556612,739
637312124013874021,637312124012159576,104.199181,30.57605,104.195409,30.573383,744
637312124012159576,637312124013874021,104.195409,30.573383,104.199181,30.57605,744
637312124016107664,637312124015722555,104.19971,30.573965,104.199242,30.572729,744
